User ID;Month;Macro Reason;Micro Reason;Financial Value (BRL);Cost Center
F42F4D06;July;card;Expired Card;6,35;OPS Driver
378D5796;December;card;Card Linking;2,74;OPS Driver
2384560B;December;general questions;Referral Program;8,81;OPS Driver
48790E72;December;payments;Campaign;50,21;OPS Driver
EB8787E9;September;payments;Others;370,48;OPS Driver
72FAF035;December;payments;Improper collection of ride tax;79,54;Product UX/UI
2EBB3A15;November;payments;Others;39,1;OPS Driver
93BA9E52;August;payments;Campaign;16,38;OPS Driver
73CCE3DA;December;incentives;Bonus Eligibility;0,44;OPS Driver
39ACAE22;December;payments;Campaign;335,46;OPS Driver
8396CF77;July;payments;Miscalculation of road toll;32,91;Product UX/UI
183B2740;December;onboarding;App Download;1,05;OPS Driver
6B9BE509;November;payments;Campaign;100,82;OPS Driver
561C5CDA;November;onboarding;First Ride Guide;7,82;OPS Driver
1DDC41E4;July;bugs;GPS Glitch;0,41;Product UX/UI
DCD13020;September;general questions;Referral Program;3,14;OPS Driver
A94A0439;December;payments;Campaign;7,91;OPS Driver
F94E627A;September;onboarding;ID Verification;2,99;OPS Driver
2826F831;December;payments;Campaign;83,78;OPS Driver
6D6637FE;September;feedbacks;Suggestion;9,12;OPS Driver
650FF522;July;general questions;Terms of Service;5,05;OPS Driver
540AFAFE;October;payments;Campaign;74,23;OPS Driver
B172519B;September;payments;Driver Get Driver;263,4;OPS Driver
4DD66203;December;payments;Campaign;14,24;OPS Driver
E2F4B617;August;payments;Others;270,11;OPS Driver
47794DE0;December;payments;Campaign;47,17;OPS Driver
D634D4E6;December;payments;Optimizer miscalculation;76,71;Product UX/UI
8DB39438;December;payments;Campaign;94,06;OPS Driver
ACD93206;December;payments;Campaign;26,59;OPS Driver
DE26A97F;September;general questions;App Navigation;3,22;OPS Driver
CE3428B1;December;payments;Others;31,58;OPS Driver
46CAB41A;November;bugs;GPS Glitch;2,3;Product UX/UI
821CA38F;July;onboarding;ID Verification;3,6;OPS Driver
B2EF9FFC;July;payments;Improper collection of ride tax;108,07;Product UX/UI
5F0A99FA;November;payments;Campaign;59,59;OPS Driver
ACA7471F;December;payments;Campaign;79,88;OPS Driver
CD311EEB;December;payments;Campaign;0,89;OPS Driver
601E8CF4;July;general questions;App Navigation;8,63;OPS Driver
F1D54018;September;payments;Not Validated PIN;28,43;Product UX/UI
3C0C204E;August;feedbacks;Suggestion;0,48;OPS Driver
51705B2F;December;onboarding;App Download;0,91;OPS Driver
C13F1FAC;September;onboarding;App Download;9,48;OPS Driver
076E1040;November;payments;Others;39,96;OPS Driver
8193BE61;July;general questions;Referral Program;8,64;OPS Driver
2042D8E1;September;incentives;Bonus Eligibility;7,37;OPS Driver
82170FC1;July;general questions;Referral Program;6,1;OPS Driver
3A2305CE;December;incentives;Promo Code Not Working;6,85;OPS Driver
474FA2A0;September;incentives;Bonus Eligibility;6,72;OPS Driver
93CD94B0;August;onboarding;ID Verification;4,32;OPS Driver
04A45C9A;July;payments;Campaign;144,28;OPS Driver
0A1D3B90;September;incentives;Promo Code Not Working;1,33;OPS Driver
F286456E;September;payments;Miscalculation of road toll;12,92;Product UX/UI
44701DF0;December;payments;Ride cancellation (CSI Only);173,2;CSI
D687E16F;October;onboarding;App Download;9,62;OPS Driver
F32CFCFF;August;payments;Campaign;107,86;OPS Driver
44DF7A48;July;onboarding;App Download;4,22;OPS Driver
25EADA45;October;feedbacks;Suggestion;1,74;OPS Driver
BD31D8A4;December;payments;Campaign;310,02;OPS Driver
D901841A;September;general questions;Terms of Service;4,79;OPS Driver
27D565EE;November;onboarding;App Download;8,3;OPS Driver
1E14648A;November;onboarding;ID Verification;7,86;OPS Driver
0825A02A;August;payments;Miscalculation of road toll;15,27;Product UX/UI
0FE71E77;July;payments;Optimizer miscalculation;124,38;Product UX/UI
B39DD041;December;general questions;App Navigation;6,77;OPS Driver
52C9C4F0;July;onboarding;First Ride Guide;0,57;OPS Driver
80D4B2CB;December;payments;Campaign;117,7;OPS Driver
0C91AE13;August;onboarding;ID Verification;6,41;OPS Driver
4275046B;July;onboarding;App Download;0,34;OPS Driver
ED8BA6C8;September;incentives;Bonus Eligibility;6,16;OPS Driver
BC642103;October;payments;Campaign;44,46;OPS Driver
3D1D9757;July;card;Card Linking;4,38;OPS Driver
E00619FC;October;onboarding;App Download;1,73;OPS Driver
46106D5F;November;payments;Campaign;25,19;OPS Driver
F1F02F39;November;others;Miscellaneous;3,29;OPS Driver
E6586A8A;November;card;Expired Card;0,67;OPS Driver
2CDAAB6B;September;card;Card Linking;6,33;OPS Driver
02419F50;December;payments;Campaign;4,57;OPS Driver
7DD6B59E;December;payments;Campaign;80,2;OPS Driver
D8197858;August;onboarding;First Ride Guide;8,24;OPS Driver
350EF359;October;payments;Campaign;78,4;OPS Driver
0D8B6423;July;incentives;Bonus Eligibility;7,15;OPS Driver
22FFB652;December;payments;Campaign;49,62;OPS Driver
2AFF04F9;September;bugs;App Crash;6,22;Product UX/UI
F94EC659;August;general questions;Terms of Service;5,48;OPS Driver
ECF7B215;December;payments;Campaign;86,28;OPS Driver
E02C42EA;August;card;Expired Card;4,88;OPS Driver
2C895735;July;onboarding;App Download;4,05;OPS Driver
971F3734;October;general questions;Referral Program;5,04;OPS Driver
AC025557;December;payments;Campaign;85,72;OPS Driver
4C1E63CD;December;payments;Improper collection of ride tax;225,2;Product UX/UI
FF9519E5;September;others;Miscellaneous;9,47;OPS Driver
7175F5A8;September;feedbacks;Suggestion;4,0;OPS Driver
B25E35BA;November;general questions;Terms of Service;7,95;OPS Driver
FF1AF1AB;October;payments;Miscalculation of road toll;211,83;Product UX/UI
6B6D4AC6;November;onboarding;First Ride Guide;5,73;OPS Driver
7113877E;November;payments;Campaign;60,95;OPS Driver
DCEAC5F6;November;payments;Campaign;94,24;OPS Driver
4934E083;December;general questions;Terms of Service;6,47;OPS Driver
7392794E;December;onboarding;App Download;8,43;OPS Driver
55075EDB;November;incentives;Promo Code Not Working;9,08;OPS Driver
DA12C78E;September;general questions;Referral Program;4,18;OPS Driver
6842DDFD;December;payments;Campaign;5,47;OPS Driver
A4EB4F47;December;payments;Campaign;76,56;OPS Driver
BB89EB19;December;bugs;App Crash;1,2;Product UX/UI
739F5085;November;onboarding;App Download;0,6;OPS Driver
372D9AC4;November;bugs;App Crash;1,69;Product UX/UI
3189ECA8;November;payments;Campaign;5,2;OPS Driver
82C4B268;December;payments;Not Validated PIN;110,22;Product UX/UI
091A390D;September;onboarding;ID Verification;8,12;OPS Driver
5127F18F;December;payments;Others;61,74;OPS Driver
37AC8629;November;feedbacks;Suggestion;7,53;OPS Driver
E0455BEF;October;onboarding;ID Verification;9,63;OPS Driver
8B3A8F4F;November;general questions;App Navigation;2,18;OPS Driver
1F40FE99;August;onboarding;App Download;9,8;OPS Driver
ED4BA7C1;December;payments;Campaign;1,97;OPS Driver
C7B01C23;September;payments;Not Validated PIN;141,06;Product UX/UI
72A8A172;July;card;Card Linking;5,4;OPS Driver
55C23F1F;November;card;Card Linking;7,67;OPS Driver
4F840157;December;onboarding;ID Verification;5,87;OPS Driver
0A2F6646;August;bugs;GPS Glitch;9,09;Product UX/UI
28C44C55;November;general questions;App Navigation;6,79;OPS Driver
56A993E5;July;onboarding;First Ride Guide;7,27;OPS Driver
89A7D567;October;onboarding;First Ride Guide;2,1;OPS Driver
E65754CB;September;others;Miscellaneous;0,7;OPS Driver
776F03BF;December;payments;Campaign;199,25;OPS Driver
28C69E49;September;payments;Bugs;99,01;Product UX/UI
D3256306;July;incentives;Promo Code Not Working;3,76;OPS Driver
FBA3C26F;August;payments;Improper collection of ride tax;121,76;Product UX/UI
0265F882;July;others;Miscellaneous;3,55;OPS Driver
BA7A043A;December;feedbacks;Suggestion;9,23;OPS Driver
C8BEF854;December;payments;Not Validated PIN;227,53;Product UX/UI
DFC5D8DF;October;payments;Optimizer miscalculation;26,5;Product UX/UI
D6017D62;August;onboarding;App Download;9,95;OPS Driver
5A7F999C;August;onboarding;ID Verification;4,96;OPS Driver
13F4CBD2;December;payments;Campaign;55,09;OPS Driver
90B1B34B;October;onboarding;First Ride Guide;9,83;OPS Driver
43EB6AF7;October;others;Miscellaneous;5,97;OPS Driver
AE8AB499;December;bugs;GPS Glitch;4,9;Product UX/UI
4FF583C1;July;feedbacks;Driver Compliment;3,44;OPS Driver
73FCA571;November;payments;Bugs;102,27;Product UX/UI
2CA0A0EA;September;others;Miscellaneous;7,36;OPS Driver
B91EE849;November;onboarding;App Download;8,87;OPS Driver
FC605BD5;October;bugs;GPS Glitch;4,76;Product UX/UI
E5020241;December;others;Miscellaneous;2,02;OPS Driver
E0B81705;December;bugs;GPS Glitch;9,46;Product UX/UI
7255A6F5;August;card;Expired Card;5,17;OPS Driver
5718EE99;September;incentives;Promo Code Not Working;4,77;OPS Driver
E4C9FC67;November;card;Expired Card;3,77;OPS Driver
B9ADDEA6;December;payments;Campaign;286,88;OPS Driver
D4643A62;September;onboarding;ID Verification;0,27;OPS Driver
6C07850E;December;payments;Campaign;30,96;OPS Driver
6F067BA9;September;bugs;App Crash;3,61;Product UX/UI
5A5AE183;December;onboarding;ID Verification;8,28;OPS Driver
F95C5F96;November;payments;Campaign;43,83;OPS Driver
BA5EA294;September;feedbacks;Driver Compliment;6,61;OPS Driver
1073D72E;November;bugs;App Crash;7,39;Product UX/UI
2355677C;August;general questions;App Navigation;4,07;OPS Driver
D12920B2;August;onboarding;ID Verification;6,96;OPS Driver
1808DF5E;October;others;Miscellaneous;6,81;OPS Driver
C7C3C656;August;feedbacks;Suggestion;3,88;OPS Driver
775F13EB;July;incentives;Bonus Eligibility;3,96;OPS Driver
56F7DC69;October;payments;Improper collection of ride tax;92,35;Product UX/UI
B00A17C7;August;others;Miscellaneous;4,82;OPS Driver
46079D0B;December;payments;Campaign;34,95;OPS Driver
6B35C9C9;July;general questions;Referral Program;2,67;OPS Driver
DFFEEDF4;December;payments;Campaign;91,06;OPS Driver
8E98E9A7;July;general questions;Terms of Service;5,97;OPS Driver
FACEF9ED;December;payments;Campaign;316,41;OPS Driver
AA098B2A;August;payments;Ride cancellation (CSI Only);116,82;CSI
1C23DC3C;December;payments;Campaign;102,59;OPS Driver
AF9EE5D8;October;others;Miscellaneous;5,73;OPS Driver
B9A03EED;December;payments;Campaign;105,79;OPS Driver
6C4D153D;November;general questions;Referral Program;7,45;OPS Driver
2A09B9C3;December;payments;Campaign;0,68;OPS Driver
5A9216C1;November;payments;Miscalculation of road toll;132,39;Product UX/UI
DAAA067E;September;onboarding;ID Verification;1,95;OPS Driver
4EED050E;October;payments;Campaign;31,2;OPS Driver
5F41D0A2;October;payments;Campaign;80,69;OPS Driver
6B1B7B75;November;general questions;Terms of Service;1,26;OPS Driver
BED0B198;November;onboarding;First Ride Guide;7,12;OPS Driver
87BE4329;September;card;Expired Card;6,31;OPS Driver
A5471B1D;September;onboarding;App Download;3,24;OPS Driver
24C4FDEF;October;payments;Others;70,04;OPS Driver
7DF2A8F8;December;payments;Others;5,21;OPS Driver
4D838AD4;December;general questions;Terms of Service;8,99;OPS Driver
CD59C6A6;July;feedbacks;Suggestion;1,89;OPS Driver
24AAEF7C;December;payments;Campaign;70,06;OPS Driver
C74EFEBF;November;others;Miscellaneous;8,05;OPS Driver
91F56629;November;onboarding;First Ride Guide;4,47;OPS Driver
6E308AAC;October;onboarding;ID Verification;7,92;OPS Driver
6693A3D3;October;general questions;Referral Program;7,53;OPS Driver
4A084243;October;general questions;Terms of Service;8,97;OPS Driver
8F632C3C;December;payments;Campaign;252,37;OPS Driver
D459898F;December;payments;Optimizer miscalculation;83,26;Product UX/UI
6E980C4B;August;onboarding;App Download;9,98;OPS Driver
1D0E5612;October;others;Miscellaneous;8,92;OPS Driver
210742DF;December;payments;Campaign;90,26;OPS Driver
2214B92A;November;payments;Campaign;22,52;OPS Driver
DBCFFAB3;October;feedbacks;Suggestion;2,09;OPS Driver
75AFD301;August;feedbacks;Suggestion;9,83;OPS Driver
D77D9AAB;August;general questions;Referral Program;0,14;OPS Driver
BA4E13C0;July;payments;Campaign;55,74;OPS Driver
5B3BDF3B;November;others;Miscellaneous;4,61;OPS Driver
F3E16A36;November;onboarding;App Download;3,08;OPS Driver
A4A977E2;September;bugs;GPS Glitch;1,57;Product UX/UI
8A90964E;July;bugs;GPS Glitch;2,93;Product UX/UI
F6267744;December;payments;Campaign;360,47;OPS Driver
DC502C4C;November;card;Card Linking;7,4;OPS Driver
E7104BCC;December;payments;Campaign;273,6;OPS Driver
B1813070;August;onboarding;App Download;4,68;OPS Driver
67A1B3C5;August;incentives;Promo Code Not Working;7,92;OPS Driver
A503DCFC;October;others;Miscellaneous;8,25;OPS Driver
EA16F5F0;November;payments;Campaign;30,36;OPS Driver
7655530F;September;card;Expired Card;7,68;OPS Driver
CC79030F;October;bugs;GPS Glitch;7,05;Product UX/UI
E4E3B76D;November;payments;Campaign;336,15;OPS Driver
E973A116;August;incentives;Promo Code Not Working;3,34;OPS Driver
F349A89C;August;bugs;GPS Glitch;3,11;Product UX/UI
C426CCB7;July;card;Card Linking;7,95;OPS Driver
01B8935D;July;general questions;Referral Program;4,52;OPS Driver
ED144732;November;incentives;Bonus Eligibility;5,66;OPS Driver
B3249B26;September;onboarding;First Ride Guide;4,38;OPS Driver
96064675;December;onboarding;First Ride Guide;4,48;OPS Driver
355AE2F2;October;card;Card Linking;1,05;OPS Driver
1AEB0A14;November;others;Miscellaneous;0,67;OPS Driver
25F2A0E0;November;card;Expired Card;5,1;OPS Driver
2A32C03D;August;onboarding;First Ride Guide;5,92;OPS Driver
FD5A2635;December;others;Miscellaneous;5,13;OPS Driver
2F798795;December;onboarding;First Ride Guide;8,15;OPS Driver
C1F1E10D;November;bugs;GPS Glitch;1,69;Product UX/UI
C66B058C;December;payments;Campaign;110,67;OPS Driver
F52E02B4;August;onboarding;App Download;9,24;OPS Driver
74A0600D;December;payments;Campaign;29,88;OPS Driver
0BF3D7BF;December;payments;Campaign;104,93;OPS Driver
5335BB41;December;incentives;Promo Code Not Working;3,06;OPS Driver
845D393F;December;payments;Bugs;96,0;Product UX/UI
233B9277;September;payments;Bugs;65,91;Product UX/UI
9628E8E5;October;others;Miscellaneous;7,89;OPS Driver
B7C8D395;July;feedbacks;Driver Compliment;9,14;OPS Driver
C9DEBE56;October;general questions;Referral Program;5,34;OPS Driver
CEF2203D;November;others;Miscellaneous;4,2;OPS Driver
46F18250;December;payments;Optimizer miscalculation;86,48;Product UX/UI
564142A6;October;bugs;GPS Glitch;1,25;Product UX/UI
0C1CE5CB;November;general questions;App Navigation;8,05;OPS Driver
21BB0DF1;October;bugs;GPS Glitch;2,52;Product UX/UI
1D26FB13;September;payments;Miscalculation of road toll;30,07;Product UX/UI
252FC3CB;November;payments;Miscalculation of road toll;37,02;Product UX/UI
26DEA1FD;December;payments;Campaign;292,9;OPS Driver
AC6C954C;December;payments;Campaign;158,54;OPS Driver
907FF356;October;incentives;Promo Code Not Working;5,92;OPS Driver
923FAE2F;December;payments;Campaign;114,79;OPS Driver
8810013B;December;others;Miscellaneous;1,9;OPS Driver
31625E3B;November;payments;Car Wash (UAU);74,63;UAU
9156F6A3;August;incentives;Promo Code Not Working;4,71;OPS Driver
4A316837;August;onboarding;App Download;2,66;OPS Driver
1D27AA3C;December;payments;Campaign;9,3;OPS Driver
21EA4AE9;December;payments;Campaign;92,62;OPS Driver
3517F290;August;card;Card Linking;4,62;OPS Driver
50346ED0;November;payments;Optimizer miscalculation;48,99;Product UX/UI
1DFDB05F;September;payments;Others;83,87;OPS Driver
F4C1153C;December;onboarding;First Ride Guide;9,23;OPS Driver
0126779B;November;onboarding;First Ride Guide;3,08;OPS Driver
B0F43488;August;feedbacks;Suggestion;9,21;OPS Driver
EB738E16;December;payments;Campaign;63,07;OPS Driver
973F49B6;August;others;Miscellaneous;7,37;OPS Driver
D300F5CC;December;payments;Campaign;186,0;OPS Driver
57DBCAC3;September;payments;Campaign;114,26;OPS Driver
003024AB;December;payments;Campaign;9,87;OPS Driver
EB647C7E;July;onboarding;ID Verification;5,64;OPS Driver
6BC8EA97;December;payments;Campaign;38,19;OPS Driver
E271453F;October;onboarding;ID Verification;8,08;OPS Driver
1C08145D;July;onboarding;First Ride Guide;7,29;OPS Driver
2BD3475E;November;onboarding;First Ride Guide;2,89;OPS Driver
1BE4FEB6;July;general questions;Terms of Service;3,29;OPS Driver
A8093DF2;December;payments;Campaign;52,85;OPS Driver
01E34604;September;payments;Campaign;110,83;OPS Driver
D17CEE76;October;card;Card Linking;2,42;OPS Driver
CEBD8D85;September;onboarding;App Download;7,86;OPS Driver
1C55FD4A;August;onboarding;First Ride Guide;8,91;OPS Driver
9EAA3D31;August;payments;Others;51,29;OPS Driver
21FEF6D3;July;payments;Bugs;35,98;Product UX/UI
527B029D;August;card;Card Linking;2,31;OPS Driver
4C89585E;December;feedbacks;Suggestion;1,28;OPS Driver
67789D2F;August;onboarding;ID Verification;2,08;OPS Driver
6604026C;July;onboarding;App Download;1,84;OPS Driver
068C46B5;December;payments;Miscalculation of road toll;63,87;Product UX/UI
626053DB;August;feedbacks;Driver Compliment;5,64;OPS Driver
8F40209A;November;onboarding;ID Verification;4,22;OPS Driver
63F89069;November;general questions;Terms of Service;7,06;OPS Driver
4D6F900F;August;payments;Campaign;337,13;OPS Driver
8989C11D;October;general questions;Referral Program;5,12;OPS Driver
2104220E;July;card;Card Linking;6,21;OPS Driver
27F5A2D0;December;payments;Campaign;349,76;OPS Driver
1A0B53AA;September;payments;Campaign;99,07;OPS Driver
115F5F51;October;payments;Improper collection of ride tax;74,13;Product UX/UI
035385B1;July;onboarding;App Download;7,14;OPS Driver
CBF24BF7;November;feedbacks;Suggestion;9,3;OPS Driver
6BDE95D7;October;incentives;Promo Code Not Working;1,79;OPS Driver
9CCC7AC0;August;onboarding;ID Verification;8,88;OPS Driver
EB823E78;September;payments;Not Validated PIN;56,72;Product UX/UI
17383E1C;September;onboarding;First Ride Guide;5,65;OPS Driver
57C5F606;December;onboarding;App Download;6,0;OPS Driver
BC5423D1;November;onboarding;ID Verification;7,89;OPS Driver
1003D40D;September;bugs;GPS Glitch;4,35;Product UX/UI
96F3B801;September;incentives;Promo Code Not Working;5,13;OPS Driver
16FDB951;October;feedbacks;Suggestion;4,15;OPS Driver
B00B3292;September;feedbacks;Suggestion;4,13;OPS Driver
B0E7CC0B;October;others;Miscellaneous;3,63;OPS Driver
39CC7DD8;December;payments;Campaign;337,83;OPS Driver
B2584F3E;October;payments;Campaign;66,09;OPS Driver
063DEDAC;October;onboarding;ID Verification;3,93;OPS Driver
6DEAA653;December;onboarding;App Download;9,87;OPS Driver
D183544F;September;bugs;GPS Glitch;6,75;Product UX/UI
DEA660BB;July;onboarding;App Download;7,81;OPS Driver
402841E5;December;payments;Optimizer miscalculation;39,01;Product UX/UI
8EF0DC36;December;onboarding;First Ride Guide;5,16;OPS Driver
A45A4092;December;payments;Campaign;328,74;OPS Driver
32B76E3B;November;payments;Campaign;92,41;OPS Driver
5B730065;October;bugs;App Crash;3,07;Product UX/UI
C9C21B6E;November;others;Miscellaneous;7,69;OPS Driver
EC2A1767;September;feedbacks;Driver Compliment;8,93;OPS Driver
E0CB8A10;November;bugs;App Crash;3,75;Product UX/UI
9E0395E8;December;payments;Bugs;115,03;Product UX/UI
DEEF7D90;July;feedbacks;Driver Compliment;3,42;OPS Driver
6B0564A4;December;others;Miscellaneous;4,54;OPS Driver
47694216;October;bugs;App Crash;6,59;Product UX/UI
C6B1E3EE;December;incentives;Bonus Eligibility;0,89;OPS Driver
9E6C98BF;October;payments;Optimizer miscalculation;30,91;Product UX/UI
BFB140BA;September;bugs;App Crash;3,14;Product UX/UI
7AB40683;November;payments;Others;25,82;OPS Driver
DE1347B4;September;onboarding;First Ride Guide;9,67;OPS Driver
CF843A13;October;bugs;App Crash;7,27;Product UX/UI
1DB27D36;November;payments;Campaign;43,13;OPS Driver
0CD050EA;November;general questions;Terms of Service;5,09;OPS Driver
C486B7A4;October;incentives;Promo Code Not Working;4,07;OPS Driver
422F0431;August;onboarding;ID Verification;6,78;OPS Driver
A34CD09D;September;card;Card Linking;6,04;OPS Driver
2FB80A5B;October;payments;Campaign;53,07;OPS Driver
19FBF4B1;August;feedbacks;Driver Compliment;4,91;OPS Driver
0BE9D97B;December;others;Miscellaneous;6,64;OPS Driver
F01068CF;September;payments;Campaign;105,67;OPS Driver
62B6CF0D;November;payments;Campaign;30,55;OPS Driver
B041EDF7;July;payments;Campaign;327,7;OPS Driver
6952850A;August;payments;Ride cancellation (CSI Only);68,85;CSI
41E4E9EB;November;payments;Bugs;108,94;Product UX/UI
DB8D2C78;December;payments;Campaign;58,56;OPS Driver
264CBE53;November;incentives;Promo Code Not Working;1,01;OPS Driver
A31A07F1;December;payments;Campaign;112,6;OPS Driver
145E1CDA;September;bugs;GPS Glitch;0,47;Product UX/UI
BD872D7D;July;incentives;Promo Code Not Working;4,58;OPS Driver
3A245AEB;July;feedbacks;Suggestion;0,37;OPS Driver
631D13F8;October;others;Miscellaneous;3,92;OPS Driver
A8382FFA;August;incentives;Promo Code Not Working;9,36;OPS Driver
7F2E1160;October;payments;Miscalculation of road toll;24,58;Product UX/UI
7DFEF076;July;onboarding;ID Verification;2,31;OPS Driver
423ABD44;November;payments;Campaign;37,08;OPS Driver
481A2341;October;onboarding;ID Verification;4,91;OPS Driver
212B82B4;September;incentives;Bonus Eligibility;6,92;OPS Driver
7A692435;December;onboarding;App Download;3,3;OPS Driver
94E5214E;October;payments;Campaign;219,89;OPS Driver
E6E245C3;August;payments;Campaign;99,03;OPS Driver
C2A3DA39;September;general questions;Referral Program;0,34;OPS Driver
0087288C;September;payments;Miscalculation of road toll;24,56;Product UX/UI
0B06285F;August;feedbacks;Driver Compliment;7,27;OPS Driver
ACFEF8C3;December;payments;Campaign;58,48;OPS Driver
6D04667A;December;onboarding;First Ride Guide;0,54;OPS Driver
4C1BE544;December;onboarding;ID Verification;1,13;OPS Driver
8DB25C4D;December;payments;Campaign;116,87;OPS Driver
2AA3D681;November;onboarding;App Download;8,32;OPS Driver
32829B02;December;payments;Campaign;85,03;OPS Driver
C4740DC6;November;payments;Campaign;95,27;OPS Driver
F5CAE98B;December;payments;Campaign;309,18;OPS Driver
CB0D63FF;December;payments;Optimizer miscalculation;29,16;Product UX/UI
458C82D9;October;payments;Campaign;111,71;OPS Driver
855C6A43;September;onboarding;App Download;7,93;OPS Driver
2B9235D7;December;general questions;Referral Program;4,29;OPS Driver
1EC0CAC3;December;onboarding;ID Verification;6,81;OPS Driver
C5538BC6;December;payments;Campaign;34,89;OPS Driver
D8BBD71B;August;incentives;Promo Code Not Working;6,73;OPS Driver
B9F4F62E;August;card;Card Linking;3,87;OPS Driver
44294939;November;payments;Campaign;232,17;OPS Driver
8434CE7D;August;bugs;GPS Glitch;6,4;Product UX/UI
1EB585D2;December;payments;Campaign;14,1;OPS Driver
239C0275;December;general questions;Referral Program;3,09;OPS Driver
F24EE8D7;December;payments;Campaign;92,0;OPS Driver
0A41645B;November;general questions;App Navigation;7,27;OPS Driver
76618819;November;card;Card Linking;4,82;OPS Driver
41AC542C;December;payments;Campaign;107,58;OPS Driver
72A0267A;December;card;Card Linking;5,94;OPS Driver
8F77CF32;September;general questions;Terms of Service;2,83;OPS Driver
41B0BAB7;October;payments;Not Validated PIN;238,06;Product UX/UI
A08A863D;July;payments;Campaign;31,71;OPS Driver
8DF9D116;September;card;Card Linking;9,84;OPS Driver
64B49678;November;payments;Campaign;68,9;OPS Driver
2D206D84;July;incentives;Promo Code Not Working;3,74;OPS Driver
9D0CE372;August;payments;Campaign;121,72;OPS Driver
CDFCB1B3;July;incentives;Promo Code Not Working;6,01;OPS Driver
F952F38E;December;payments;Campaign;75,49;OPS Driver
5351FBE3;July;general questions;Terms of Service;1,82;OPS Driver
59833B56;August;general questions;Referral Program;7,07;OPS Driver
786FA95A;August;onboarding;First Ride Guide;4,01;OPS Driver
E2B98431;August;feedbacks;Driver Compliment;7,96;OPS Driver
37D89F0B;October;bugs;App Crash;8,49;Product UX/UI
3D1FD699;July;incentives;Bonus Eligibility;9,55;OPS Driver
729C9F24;December;payments;Campaign;6,56;OPS Driver
7B10B3E7;August;payments;Campaign;116,22;OPS Driver
1B9ABB0D;August;payments;Improper collection of ride tax;66,55;Product UX/UI
8DF27E35;August;onboarding;App Download;4,33;OPS Driver
DE763736;August;others;Miscellaneous;7,73;OPS Driver
EA45245A;December;feedbacks;Driver Compliment;4,16;OPS Driver
8B2F6278;November;incentives;Promo Code Not Working;6,45;OPS Driver
841AAC00;August;feedbacks;Driver Compliment;4,28;OPS Driver
670C98E9;November;payments;Campaign;339,11;OPS Driver
BFBF747B;December;onboarding;ID Verification;3,89;OPS Driver
AE5ABCE5;October;incentives;Promo Code Not Working;4,96;OPS Driver
60292077;November;payments;Campaign;113,42;OPS Driver
57239D3D;November;payments;Bugs;14,31;Product UX/UI
F49664C3;December;payments;Campaign;109,09;OPS Driver
BE23B1A8;August;general questions;Terms of Service;4,2;OPS Driver
861443C3;August;onboarding;First Ride Guide;3,61;OPS Driver
CEAC10B6;July;general questions;App Navigation;7,19;OPS Driver
C9C38CAB;October;onboarding;First Ride Guide;7,79;OPS Driver
66211AD0;December;payments;Campaign;32,8;OPS Driver
89A7C970;December;payments;Campaign;4,2;OPS Driver
AC663D31;December;payments;Campaign;14,93;OPS Driver
9EB84F95;October;general questions;Referral Program;1,65;OPS Driver
6F77F3F4;September;incentives;Promo Code Not Working;1,52;OPS Driver
C0CBFCE7;October;incentives;Promo Code Not Working;9,78;OPS Driver
496A29C0;September;onboarding;First Ride Guide;8,97;OPS Driver
